Father_Occupation,Mother_Occupation,Application_Mode,Father_Qualification,Mother_Qualification,GDP,Scholarship_Holder,Inflation_Rate,Debtor,Application_Order,Target
6,6,1,37,38,0.32,0,2.6,0,1,0
1,4,1,1,19,1.74,0,1.4,0,1,0
4,4,17,12,12,1.74,0,1.4,0,5,0
8,4,43,19,19,-0.92,0,0.3,0,1,0
8,9,17,37,37,2.02,0,0.6,1,2,0
90,90,1,34,34,0.32,0,2.6,0,2,0
5,9,1,19,37,-3.12,0,-0.8,0,5,0
5,9,7,1,1,-0.92,0,0.3,0,1,0
4,3,39,19,19,2.02,0,0.6,1,1,0
5,5,18,37,1,-4.06,0,2.8,0,3,0
6,4,17,19,1,2.02,0,0.6,0,2,0
7,5,18,3,3,1.74,0,1.4,1,2,0
9,9,39,19,1,3.51,0,1.4,0,1,0
3,4,39,3,12,0.32,0,2.6,0,1,0
10,4,51,1,1,1.79,0,0.5,0,1,0
4,3,39,1,19,3.51,0,1.4,0,1,0
2,2,7,2,3,0.79,0,-0.3,0,1,0
3,2,39,19,3,-0.92,1,0.3,0,1,0
9,9,39,37,37,-0.92,1,0.3,0,1,0
7,8,39,37,19,-3.12,0,-0.8,0,1,0
4,5,39,19,1,3.51,1,1.4,0,1,0
3,1,17,37,19,0.32,0,2.6,0,1,0
3,3,1,1,1,-3.12,0,-0.8,0,3,0
0,0,39,34,34,0.32,0,2.6,0,2,0
6,4,39,19,19,-4.06,0,2.8,0,1,0
10,9,1,1,37,-0.92,0,0.3,0,1,0
9,9,1,1,19,-3.12,0,-0.8,0,1,0
7,9,39,19,19,-0.92,0,0.3,1,1,0
1,9,39,1,37,1.74,0,1.4,0,1,0
10,9,44,37,37,0.79,0,-0.3,1,1,0
7,7,1,37,38,3.51,1,1.4,0,3,0
7,7,39,37,38,3.51,1,1.4,1,1,0
1,3,43,1,1,-0.92,0,0.3,1,1,0
99,99,39,37,37,-1.7,0,3.7,0,1,0
9,9,43,38,37,0.32,0,2.6,1,1,0
9,9,1,19,1,0.32,0,2.6,0,2,0
3,3,42,38,37,-1.7,0,3.7,0,1,0
0,2,7,4,5,0.32,0,2.6,1,1,0
6,3,1,37,38,3.51,1,1.4,0,1,0
5,5,51,19,19,-3.12,0,-0.8,1,1,0
3,4,17,11,1,-3.12,0,-0.8,0,2,0
90,90,39,1,3,-1.7,0,3.7,0,1,0
8,7,44,37,37,1.79,0,0.5,1,1,0
0,0,17,34,34,0.32,0,2.6,0,1,0
4,4,51,1,1,2.02,0,0.6,0,1,0
5,9,7,19,19,3.51,0,1.4,1,1,0
7,4,44,37,19,-0.92,0,0.3,1,1,0
2,2,1,3,3,-4.06,0,2.8,0,1,0
9,9,1,19,19,-1.7,0,3.7,0,1,0
5,9,1,1,1,-3.12,0,-0.8,0,4,0
6,4,1,19,19,1.74,0,1.4,1,1,0
8,90,39,37,37,-1.7,0,3.7,0,1,0
3,2,39,39,3,3.51,0,1.4,0,1,0
7,9,1,38,37,1.74,0,1.4,1,1,0
5,9,1,19,19,-1.7,0,3.7,0,6,0
7,4,39,38,38,-1.7,0,3.7,0,1,0
9,9,18,37,37,-3.12,0,-0.8,0,4,0
7,5,39,19,38,-0.92,1,0.3,0,1,0
7,7,1,37,30,0.32,0,2.6,1,6,0
10,9,17,1,1,0.32,0,2.6,0,2,0
8,5,17,19,37,1.74,0,1.4,1,1,0
4,6,17,37,38,-0.92,0,0.3,0,1,0
0,0,39,34,34,0.32,0,2.6,0,1,0
9,9,1,19,19,-1.7,0,3.7,0,1,0
5,4,1,19,1,-1.7,0,3.7,0,4,0
6,4,44,2,1,-4.06,0,2.8,0,1,0
4,4,1,1,19,1.74,0,1.4,0,2,0
3,90,1,1,1,0.32,1,2.6,0,1,0
4,2,1,1,9,0.32,0,2.6,0,5,0
7,7,1,19,1,-4.06,0,2.8,0,2,0
6,5,7,37,38,1.79,0,0.5,0,1,0
8,9,43,19,37,-1.7,0,3.7,0,1,0
3,2,43,3,3,1.74,0,1.4,0,1,0
10,7,1,19,38,2.02,0,0.6,0,1,0
0,0,39,34,34,0.32,0,2.6,0,1,0
9,9,1,19,19,1.79,0,0.5,0,2,0
0,0,7,34,34,0.32,0,2.6,0,1,0
5,2,1,1,3,0.32,0,2.6,0,3,0
3,4,43,19,38,1.74,0,1.4,0,2,0
4,5,39,19,1,0.79,0,-0.3,0,1,0
5,90,7,37,19,-1.7,0,3.7,1,3,0
9,9,39,38,37,-1.7,0,3.7,0,1,0
1,1,7,3,3,1.74,0,1.4,0,2,0
2,2,1,5,5,-3.12,0,-0.8,0,1,0
6,4,1,19,1,-4.06,0,2.8,0,2,0
99,99,39,34,34,1.74,0,1.4,0,1,0
2,9,39,19,37,-1.7,0,3.7,0,1,0
10,9,18,37,37,-3.12,0,-0.8,1,2,0
10,9,18,37,37,-3.12,0,-0.8,1,2,0
4,9,17,1,1,1.74,0,1.4,0,2,0
0,0,39,34,34,-3.12,0,-0.8,0,1,0
9,9,17,37,37,0.32,0,2.6,0,2,0
1,1,1,3,5,-0.92,0,0.3,0,1,0
3,9,43,1,1,-0.92,0,0.3,0,1,0
9,9,39,37,37,1.74,0,1.4,1,1,0
2,2,1,3,3,-0.92,0,0.3,1,1,0
8,9,17,37,19,0.79,0,-0.3,0,1,0
7,4,44,19,1,-0.92,0,0.3,1,1,0
4,4,39,3,3,3.51,0,1.4,0,1,0
9,9,18,1,19,1.74,0,1.4,0,3,0
5,4,1,19,12,1.79,0,0.5,0,5,0
9,7,39,1,19,-1.7,0,3.7,1,1,0
10,1,43,12,12,-4.06,0,2.8,1,1,0
2,3,17,2,1,2.02,0,0.6,0,3,0
4,4,17,1,1,2.02,0,0.6,0,2,0
2,2,44,2,3,-4.06,0,2.8,0,1,0
10,4,39,1,1,1.79,0,0.5,0,1,0
4,2,39,1,4,-0.92,0,0.3,0,1,0
5,0,17,36,34,0.32,0,2.6,0,4,0
9,9,1,37,38,0.32,0,2.6,0,1,0
10,5,17,3,19,1.79,0,0.5,0,6,0
4,4,39,1,1,-3.12,0,-0.8,0,1,0
1,0,39,5,34,0.32,0,2.6,0,1,0
9,9,39,37,37,1.74,0,1.4,0,1,0
0,7,17,12,38,0.32,1,2.6,0,1,0
10,9,39,1,37,3.51,0,1.4,1,1,0
9,9,7,38,19,1.79,0,0.5,0,1,0
7,5,17,38,19,1.74,0,1.4,1,5,0
6,6,1,1,9,-3.12,0,-0.8,0,3,0
2,3,17,3,19,0.32,1,2.6,1,1,0
193,194,17,38,19,1.79,0,0.5,0,1,0
3,4,17,38,1,0.79,0,-0.3,0,2,0
7,9,17,38,38,-3.12,0,-0.8,0,5,0
9,9,17,37,38,2.02,1,0.6,0,4,0
8,9,1,19,19,-1.7,0,3.7,0,1,0
3,3,18,1,1,-1.7,1,3.7,0,1,0
0,9,39,37,37,-1.7,0,3.7,1,1,0
7,7,1,38,38,3.51,0,1.4,1,2,0
9,9,39,19,19,2.02,0,0.6,0,1,0
5,5,17,38,37,1.74,0,1.4,1,2,0
8,4,17,19,1,1.79,0,0.5,0,5,0
7,90,42,38,37,0.32,0,2.6,0,1,0
9,9,17,37,37,0.32,0,2.6,0,1,0
0,0,39,37,37,1.74,0,1.4,1,1,0
5,4,18,1,1,-1.7,1,3.7,1,4,0
10,9,39,37,37,0.79,0,-0.3,0,1,0
9,1,39,37,37,1.79,0,0.5,0,1,0
7,9,39,37,37,1.74,0,1.4,1,2,0
4,9,39,38,37,-4.06,0,2.8,0,1,0
8,9,39,37,38,-0.92,0,0.3,1,1,0
5,5,1,1,3,0.79,0,-0.3,1,1,0
7,5,43,38,37,0.79,0,-0.3,0,1,0
3,9,39,19,37,3.51,0,1.4,0,1,0
2,2,7,5,5,2.02,0,0.6,0,1,0
9,9,39,37,37,0.32,0,2.6,0,1,0
9,9,39,37,37,-0.92,1,0.3,0,1,0
7,9,39,11,37,1.79,0,0.5,1,1,0
90,90,39,38,38,0.32,0,2.6,0,1,0
8,9,39,37,37,-4.06,0,2.8,1,1,0
90,0,39,36,34,0.32,0,2.6,0,1,0
9,3,39,1,2,-1.7,0,3.7,1,1,0
4,4,43,38,38,-0.92,0,0.3,1,1,0
5,90,39,37,37,1.74,0,1.4,0,1,0
10,90,7,26,37,1.74,0,1.4,0,3,0
9,9,39,37,37,2.02,0,0.6,0,1,0
9,9,1,37,19,0.79,1,-0.3,1,1,0
7,6,39,37,37,-0.92,0,0.3,0,1,0
7,5,17,37,37,0.32,0,2.6,0,2,0
8,8,51,19,1,3.51,0,1.4,0,1,0
7,9,1,19,19,1.79,0,0.5,0,1,0
3,3,17,3,3,1.79,0,0.5,0,3,0
8,4,39,19,1,-1.7,0,3.7,0,1,0
5,4,43,1,1,-4.06,0,2.8,0,1,0
4,4,51,19,1,3.51,0,1.4,1,1,0
3,90,39,1,1,0.32,0,2.6,0,1,0
9,7,39,37,19,1.74,0,1.4,1,1,0
5,4,1,19,1,-4.06,0,2.8,1,4,0
5,9,15,1,1,3.51,0,1.4,1,1,0
4,9,43,2,37,0.32,0,2.6,0,1,0
5,5,17,19,1,1.79,0,0.5,0,6,0
7,4,44,1,1,0.79,0,-0.3,1,1,0
2,4,1,2,3,3.51,0,1.4,0,1,0
4,5,17,1,1,-4.06,0,2.8,1,1,0
90,0,5,37,37,0.32,1,2.6,1,3,0
2,2,39,3,3,-4.06,0,2.8,0,1,0
8,9,1,1,19,2.02,0,0.6,1,2,0
7,4,1,3,1,3.51,0,1.4,0,4,0
4,9,1,1,1,1.79,1,0.5,1,1,0
7,5,17,1,1,2.02,0,0.6,0,1,0
5,3,43,19,3,-4.06,0,2.8,0,1,0
3,3,17,3,39,0.79,0,-0.3,0,1,0
0,0,39,34,34,0.32,0,2.6,0,1,0
6,9,39,37,37,-0.92,0,0.3,0,1,0
5,90,39,37,37,0.32,0,2.6,0,1,0
4,3,17,3,3,3.51,0,1.4,0,3,0
8,2,44,1,3,-1.7,0,3.7,0,1,0
9,9,1,3,3,3.51,0,1.4,1,1,0
0,3,39,34,3,-3.12,0,-0.8,1,1,0
8,9,1,37,37,-3.12,1,-0.8,1,1,0
1,4,1,39,1,-0.92,0,0.3,0,3,0
3,4,1,19,1,1.74,0,1.4,0,1,0
10,9,39,1,37,2.02,0,0.6,0,1,0
6,4,5,37,19,0.32,0,2.6,0,4,0
3,0,1,38,34,0.32,0,2.6,0,1,0
4,5,18,2,1,0.79,0,-0.3,0,2,0
9,9,39,38,19,-3.12,0,-0.8,1,2,0
8,5,44,19,1,1.79,0,0.5,0,1,0
8,9,39,19,38,0.79,0,-0.3,1,1,0
4,5,44,1,1,1.79,0,0.5,0,1,0
90,90,39,38,1,1.74,0,1.4,0,1,0
7,3,39,38,37,1.79,1,0.5,0,1,0
0,0,39,34,34,-3.12,0,-0.8,0,1,0
9,9,17,19,38,-4.06,1,2.8,0,1,0
5,4,39,19,19,-4.06,1,2.8,0,2,0
3,9,44,1,19,-0.92,0,0.3,0,1,0
6,9,39,37,19,-0.92,0,0.3,1,1,0
7,4,39,37,37,-0.92,0,0.3,1,1,0
193,175,39,38,37,-0.92,0,0.3,0,1,0
4,9,7,12,37,-3.12,0,-0.8,0,1,0
9,4,44,37,1,-4.06,0,2.8,0,1,0
7,9,17,19,19,1.74,0,1.4,0,1,0
9,9,1,19,19,-1.7,0,3.7,0,2,0
7,7,1,1,1,-0.92,0,0.3,0,4,0
10,7,1,19,38,-4.06,0,2.8,0,1,0
9,9,39,37,37,-1.7,0,3.7,0,1,0
6,9,39,37,37,0.79,0,-0.3,0,1,0
90,90,39,34,34,0.32,0,2.6,0,1,0
10,8,39,37,37,-3.12,0,-0.8,0,1,0
2,4,17,3,1,-3.12,0,-0.8,0,6,0
6,9,39,37,37,-0.92,1,0.3,0,1,0
90,4,7,20,19,1.74,0,1.4,0,1,0
0,0,1,37,19,0.32,0,2.6,0,1,0
9,9,39,37,37,0.32,0,2.6,0,1,0
9,9,39,38,38,0.79,0,-0.3,0,1,0
7,90,39,37,37,-3.12,0,-0.8,0,1,0
10,9,7,19,1,-4.06,0,2.8,0,1,0
2,0,17,5,3,0.32,1,2.6,0,2,0
2,9,39,3,37,-4.06,0,2.8,0,1,0
9,9,39,37,37,1.79,0,0.5,1,1,0
10,1,18,1,19,-3.12,0,-0.8,0,5,0
9,2,42,1,3,0.32,0,2.6,0,1,0
90,4,17,1,1,0.32,0,2.6,0,4,0
0,0,1,11,14,0.32,0,2.6,0,3,0
0,0,39,34,34,0.32,0,2.6,0,1,0
5,9,39,37,19,1.79,0,0.5,0,1,0
10,9,39,19,37,0.79,0,-0.3,0,1,0
0,0,39,34,34,0.32,0,2.6,0,1,0
3,7,42,38,37,0.32,0,2.6,0,1,0
7,7,39,37,37,-3.12,0,-0.8,0,2,0
5,7,39,37,19,1.74,0,1.4,1,1,0
6,6,42,35,35,0.32,0,2.6,0,1,0
10,2,1,1,1,0.32,0,2.6,0,1,0
0,5,17,1,1,0.32,0,2.6,0,1,0
4,3,1,2,2,2.02,0,0.6,0,1,0
1,9,17,38,19,1.79,0,0.5,1,2,0
3,3,1,3,1,2.02,0,0.6,0,1,0
0,0,1,34,34,0.32,0,2.6,0,3,0
5,5,17,1,38,-4.06,0,2.8,0,3,0
9,9,1,38,19,3.51,0,1.4,0,5,0
4,3,17,3,1,2.02,0,0.6,0,2,0
5,4,1,1,19,2.02,0,0.6,0,2,0
9,9,17,1,37,2.02,1,0.6,1,1,0
99,9,17,37,19,-1.7,1,3.7,1,4,0
90,4,17,19,1,0.32,0,2.6,0,3,0
7,7,17,19,38,1.79,0,0.5,0,1,0
7,9,17,38,1,2.02,0,0.6,0,1,0
9,4,7,19,1,1.79,0,0.5,0,1,0
10,2,1,38,3,1.74,0,1.4,0,3,0
5,4,17,3,3,0.79,0,-0.3,0,3,0
4,4,1,37,1,2.02,1,0.6,0,2,0
5,1,39,19,1,-3.12,0,-0.8,1,1,0
5,5,53,19,1,3.51,0,1.4,1,1,0
7,7,1,19,19,-4.06,0,2.8,0,1,0
10,5,7,1,19,0.79,0,-0.3,1,1,0
9,9,2,38,19,-4.06,0,2.8,0,1,0
9,5,17,37,37,0.32,0,2.6,0,1,0
3,2,43,1,3,0.79,0,-0.3,1,1,0
1,2,17,1,3,-4.06,0,2.8,0,2,0
8,5,17,19,19,3.51,0,1.4,0,3,0
4,4,18,19,19,-4.06,0,2.8,0,4,0
9,9,1,37,37,-4.06,0,2.8,1,1,0
8,5,17,3,12,1.74,0,1.4,1,1,0
9,9,1,19,19,-3.12,0,-0.8,0,1,0
9,9,17,19,19,-3.12,0,-0.8,0,1,0
9,9,1,38,37,1.74,0,1.4,0,4,0
0,0,1,34,34,-3.12,1,-0.8,0,2,0
9,5,51,37,19,3.51,0,1.4,0,1,0
9,1,1,38,3,1.74,0,1.4,0,1,0
6,5,17,37,37,-4.06,0,2.8,0,1,0
6,5,44,37,37,1.79,0,0.5,0,1,0
9,4,1,38,1,1.74,1,1.4,0,1,0
2,2,1,1,1,0.32,0,2.6,0,1,0
1,9,17,37,37,-4.06,0,2.8,0,1,0
7,9,17,37,38,1.74,0,1.4,0,1,0
9,9,39,37,37,-0.92,0,0.3,1,1,0
9,9,39,37,3,-1.7,0,3.7,0,2,0
7,2,17,1,3,-4.06,1,2.8,0,2,0
0,0,42,34,34,1.74,0,1.4,0,1,0
5,5,17,1,19,-0.92,0,0.3,0,4,0
9,9,39,37,37,-0.92,0,0.3,1,1,0
9,9,39,37,37,-0.92,0,0.3,0,1,0
9,9,53,38,19,3.51,0,1.4,1,1,0
7,9,17,37,37,0.32,0,2.6,0,1,0
0,0,7,34,34,1.74,0,1.4,0,2,0
3,9,7,2,37,1.74,0,1.4,0,1,0
5,5,42,37,1,-1.7,0,3.7,0,1,0
7,9,39,37,19,1.74,0,1.4,1,2,0
0,0,39,34,34,-3.12,0,-0.8,0,1,0
5,0,7,38,37,-1.7,0,3.7,0,1,0
9,9,39,37,37,3.51,0,1.4,1,1,0
9,9,43,37,37,1.74,0,1.4,0,1,0
4,3,1,1,39,1.79,0,0.5,1,2,0
3,5,39,39,19,-0.92,0,0.3,1,1,0
4,7,39,38,19,1.74,0,1.4,0,1,0
7,7,18,37,1,-3.12,0,-0.8,0,1,0
4,4,1,1,3,-4.06,0,2.8,0,1,0
9,9,43,37,37,1.74,0,1.4,0,1,0
4,4,39,19,19,-3.12,0,-0.8,0,1,0
9,4,43,37,37,-1.7,0,3.7,0,1,0
5,5,39,37,37,-0.92,0,0.3,0,1,0
9,9,1,19,19,1.79,0,0.5,1,3,0
3,5,1,37,38,-3.12,0,-0.8,0,2,0
5,5,39,1,3,2.02,1,0.6,0,1,0
3,9,42,37,19,0.79,0,-0.3,1,1,0
9,9,1,19,19,1.79,0,0.5,0,2,0
6,6,39,37,37,1.74,0,1.4,0,1,0
8,9,1,37,38,0.32,0,2.6,0,1,0
8,7,51,37,37,3.51,0,1.4,0,1,0
9,9,39,37,37,-3.12,0,-0.8,0,1,0
7,4,17,19,1,-3.12,0,-0.8,0,5,0
3,3,17,38,19,1.79,0,0.5,0,2,0
7,9,44,19,1,0.79,0,-0.3,0,1,0
3,9,39,41,1,1.79,0,0.5,1,1,0
4,4,39,1,1,-0.92,0,0.3,0,1,0
0,0,39,34,34,0.32,0,2.6,0,2,0
6,9,39,37,37,1.79,0,0.5,0,1,0
4,3,17,19,1,3.51,0,1.4,0,1,0
9,3,1,19,3,3.51,0,1.4,0,5,0
3,2,1,39,3,-0.92,0,0.3,0,4,0
8,0,1,38,34,0.32,1,2.6,0,5,0
7,5,43,19,1,1.74,1,1.4,0,1,0
7,0,17,38,34,0.32,0,2.6,1,1,0
3,1,1,1,3,1.74,0,1.4,0,1,0
9,9,43,19,1,-4.06,0,2.8,0,1,0
8,4,17,1,1,-1.7,1,3.7,1,1,0
9,4,17,19,38,1.74,0,1.4,0,2,0
0,0,39,37,34,0.32,0,2.6,0,1,0
5,9,39,1,19,-4.06,0,2.8,1,1,0
10,4,17,1,1,1.74,0,1.4,0,1,0
9,9,42,37,19,-4.06,0,2.8,0,1,0
152,123,1,1,3,3.51,0,1.4,0,4,0
5,5,39,38,38,1.79,0,0.5,0,1,0
3,3,39,22,6,-3.12,0,-0.8,1,1,0
5,3,51,19,1,2.02,0,0.6,0,1,0
3,7,1,19,19,-1.7,0,3.7,0,1,0
8,4,7,37,1,1.74,0,1.4,0,1,0
1,5,1,1,38,0.79,0,-0.3,0,1,0
5,5,1,37,19,-3.12,0,-0.8,1,5,0
9,5,51,1,1,2.02,0,0.6,0,1,0
9,9,39,19,38,-0.92,0,0.3,0,1,0
9,1,1,37,19,-1.7,0,3.7,0,1,0
2,3,43,3,2,1.74,0,1.4,0,1,0
90,4,17,13,37,0.32,0,2.6,0,6,0
9,9,1,19,19,-0.92,0,0.3,1,1,0
8,2,44,37,2,-4.06,0,2.8,1,1,0
8,5,15,3,1,2.02,0,0.6,1,1,0
0,5,17,34,11,0.32,0,2.6,0,1,0
5,9,39,37,37,2.02,0,0.6,0,1,0
7,90,17,19,19,-1.7,0,3.7,0,5,0
10,9,39,38,38,2.02,0,0.6,0,1,0
5,9,17,37,37,1.74,0,1.4,0,4,0
9,4,1,12,1,1.74,0,1.4,0,5,0
4,3,15,1,41,2.02,0,0.6,1,1,0
5,9,17,4,1,-0.92,0,0.3,1,1,0
3,4,1,19,4,-1.7,0,3.7,0,2,0
5,3,1,29,3,-3.12,0,-0.8,0,1,0
3,4,17,19,1,3.51,1,1.4,0,3,0
4,9,44,37,37,1.79,0,0.5,0,1,0
1,4,17,1,2,2.02,0,0.6,0,1,0
1,4,1,1,1,1.74,0,1.4,0,1,0
9,4,1,37,1,2.02,1,0.6,0,2,0
7,7,18,37,37,-3.12,0,-0.8,0,1,0
7,7,39,37,38,-4.06,0,2.8,0,1,0
4,4,51,19,1,3.51,0,1.4,0,1,0
9,9,17,12,10,1.74,0,1.4,0,2,0
4,0,17,37,37,-3.12,0,-0.8,0,1,0
5,9,39,37,37,-1.7,0,3.7,1,1,0
4,4,39,19,1,-4.06,0,2.8,1,1,0
9,4,1,1,1,1.79,1,0.5,0,1,0
4,9,53,1,1,3.51,1,1.4,0,1,0
5,8,43,37,19,-0.92,0,0.3,0,1,0
2,2,44,4,3,0.79,0,-0.3,0,1,0
2,2,39,3,1,-0.92,0,0.3,1,1,0
90,90,1,1,1,1.74,0,1.4,1,1,0
7,7,17,38,38,-3.12,0,-0.8,0,5,0
6,6,43,1,1,-1.7,0,3.7,0,1,0
8,4,17,1,1,1.79,0,0.5,0,1,0
9,9,17,37,19,-4.06,0,2.8,0,1,0
1,4,7,1,19,1.79,0,0.5,0,1,0
4,9,39,1,1,-1.7,0,3.7,1,1,0
9,9,39,19,19,-1.7,0,3.7,0,1,0
4,9,17,1,19,1.79,0,0.5,0,1,0
4,7,1,1,19,-3.12,0,-0.8,0,1,0
1,5,17,1,1,-4.06,0,2.8,1,1,0
9,2,10,3,3,-1.7,0,3.7,1,1,0
8,9,39,19,37,2.02,0,0.6,0,1,0
7,7,18,19,38,1.74,0,1.4,1,5,0
7,4,39,37,37,-1.7,0,3.7,0,1,0
5,3,17,37,38,-3.12,0,-0.8,0,1,0
8,7,39,37,37,-0.92,0,0.3,0,1,0
90,90,17,19,19,1.74,0,1.4,0,5,0
9,4,7,1,42,3.51,0,1.4,0,1,0
0,0,39,34,34,0.32,0,2.6,0,1,0
0,0,39,34,34,0.32,0,2.6,0,1,0
9,9,7,37,37,1.74,0,1.4,0,1,0
9,9,39,38,38,-1.7,0,3.7,0,1,0
5,9,1,19,37,-3.12,0,-0.8,0,1,0
9,9,16,37,37,0.32,0,2.6,0,1,0
6,9,43,37,37,0.79,0,-0.3,0,1,0
10,9,39,37,37,-0.92,0,0.3,1,1,0
90,90,39,37,37,0.32,0,2.6,0,1,0
7,9,39,37,37,0.79,0,-0.3,1,1,0
9,9,39,37,37,1.79,0,0.5,0,2,0
8,9,1,19,37,0.32,0,2.6,1,3,0
9,3,43,37,19,0.79,0,-0.3,0,1,0
9,9,17,38,37,1.74,1,1.4,0,1,0
4,5,17,37,37,1.74,0,1.4,0,1,0
7,4,44,19,1,-4.06,0,2.8,0,1,0
10,2,17,1,3,-3.12,0,-0.8,0,4,0
3,9,1,37,38,-3.12,1,-0.8,1,3,0
7,7,17,37,37,-3.12,0,-0.8,0,1,0
9,9,17,38,38,-0.92,0,0.3,1,1,0
8,9,39,19,1,3.51,0,1.4,1,1,0
7,4,1,38,1,-3.12,0,-0.8,0,1,0
0,0,39,34,34,-3.12,0,-0.8,0,1,0
5,9,39,19,19,-4.06,0,2.8,0,1,0
4,7,39,1,37,-4.06,0,2.8,0,1,0
9,9,1,1,19,2.02,1,0.6,0,2,0
4,9,39,37,37,-1.7,0,3.7,0,1,0
9,9,39,37,37,-1.7,0,3.7,0,1,0
7,4,42,19,1,-0.92,0,0.3,0,1,0
10,7,39,37,37,-4.06,0,2.8,0,1,0
5,5,44,37,37,-3.12,0,-0.8,0,1,0
0,4,1,3,19,0.32,0,2.6,0,1,0
8,9,39,38,37,-0.92,0,0.3,1,1,0
4,9,39,19,19,0.79,0,-0.3,1,1,0
3,5,39,37,37,-3.12,0,-0.8,1,1,0
3,3,17,3,3,1.74,0,1.4,0,4,0
7,4,1,19,3,3.51,0,1.4,0,2,0
7,9,1,37,19,-4.06,0,2.8,0,5,0
9,2,1,1,1,-1.7,0,3.7,0,2,0
6,4,44,38,1,1.79,0,0.5,1,1,0
1,4,44,1,3,-0.92,0,0.3,0,1,0
4,4,17,1,1,1.74,0,1.4,0,3,0
7,1,17,3,3,2.02,0,0.6,0,1,0
9,9,39,37,1,-0.92,0,0.3,0,1,0
4,9,1,1,19,-3.12,0,-0.8,1,2,0
3,3,1,2,2,0.32,0,2.6,0,1,0
2,2,7,3,3,0.79,0,-0.3,1,1,0
9,9,43,37,37,0.32,0,2.6,0,4,0
0,0,7,34,34,0.32,0,2.6,0,1,0
7,4,18,37,1,-1.7,0,3.7,0,3,0
10,3,39,3,3,1.74,0,1.4,0,1,0
2,0,39,1,34,0.32,0,2.6,0,1,0
5,5,1,1,1,-0.92,0,0.3,0,1,0
90,90,7,37,37,-3.12,0,-0.8,0,1,0
0,0,17,34,34,0.32,0,2.6,0,6,0
4,4,1,1,1,-1.7,0,3.7,0,5,0
10,7,39,1,19,-4.06,0,2.8,0,1,0
10,3,42,1,3,1.79,0,0.5,0,1,0
7,7,39,37,38,0.32,0,2.6,0,1,0
4,2,39,1,2,-0.92,0,0.3,0,1,0
1,5,39,37,37,-3.12,0,-0.8,0,1,0
9,4,17,37,38,-1.7,0,3.7,0,1,0
8,90,1,19,19,1.74,0,1.4,0,1,0
10,9,39,38,37,-0.92,0,0.3,1,1,0
9,9,1,1,1,1.74,0,1.4,0,1,0
10,9,39,37,37,1.74,0,1.4,0,1,0
2,5,18,3,3,0.79,0,-0.3,0,1,0
9,2,1,19,3,-4.06,0,2.8,0,1,0
6,9,43,1,1,-0.92,0,0.3,1,1,0
90,90,39,37,37,-1.7,0,3.7,1,1,0
4,4,44,1,1,-4.06,0,2.8,0,1,0
4,9,43,1,19,-4.06,0,2.8,1,1,0
6,9,39,1,19,-4.06,0,2.8,0,1,0
